,games,name,pAssists,pBlocks,pFaceoffWins,pGoals,pHits,pPPpoints,pPenaltyMin,positionX,positionY
119,37.0,Brendan Gallagher,0.293468202559,-0.590646070158,-0.774951639728,0.0912027565414,-0.226075467952,-0.178734956846,0.500635719793,RW,RW
120,32.0,Mike Cammalleri,0.246310507674,-0.566127475402,-0.776961000088,0.892554780876,-0.360821257014,-0.0504122938531,0.0171334781787,LW,LW
121,39.0,Ryan Spooner,0.227136499864,-0.644002031099,-0.816993641098,0.207784247625,-0.685327388068,0.55829777419,-0.509075847636,C,C
123,37.0,Jarome Iginla,-0.56884393248,-0.590646070158,-0.855326054111,-0.0906643695488,-0.049178432055,0.642530086308,1.22508055004,RW,RW
124,37.0,Tom Pyatt,-0.4610549156,0.739754201829,-0.855326054111,-0.272531495639,-0.513533151284,-1.0,-0.482539406968,LW,C
125,37.0,Tom Pyatt,-0.4610549156,0.739754201829,-0.855326054111,-0.272531495639,-0.513533151284,-1.0,-0.482539406968,LW,C
126,37.0,Tom Pyatt,-0.4610549156,0.739754201829,-0.855326054111,-0.272531495639,-0.513533151284,-1.0,-0.482539406968,LW,C
127,37.0,Tom Pyatt,-0.4610549156,0.739754201829,-0.855326054111,-0.272531495639,-0.513533151284,-1.0,-0.482539406968,LW,C
128,27.0,Kris Versteeg,0.62481962482,-0.43903350355,-0.801743111189,0.495351925631,-0.93939638585,1.25087456272,-0.43270986838,RW,LW
132,29.0,Chris Thorburn,-1.0,-0.216581272199,-0.835925333398,-0.303887896689,0.467025418385,-1.0,3.29135422842,RW,RW
133,40.0,Brad Marchand,1.09380165289,-0.400467056919,-0.881045866714,0.682270916335,-0.386388406733,0.519340329835,1.01033440393,LW,LW
134,37.0,Robby Fabbri,0.509046236319,-0.624758897645,-0.887475819864,1.00053838699,0.0834943448676,2.28506017262,0.29365148258,C,C
135,39.0,Wayne Simmonds,0.53392062483,-0.0938233518879,-0.908496820549,1.93319031566,0.741188452689,5.23319109676,2.28919182084,RW,RW
136,35.0,Josh Anderson,-0.316309664362,-0.170570965963,-0.898039314326,0.538076266363,0.636297582045,-1.0,1.24282205608,RW,RW
137,27.0,Ryan Garbutt,-0.852289125016,-0.43903350355,-0.867828740793,-0.501549358123,0.60599577497,-1.0,0.418225329051,LW,RW
138,36.0,Mitch Marner,0.994096812279,-0.263731473409,-0.900871555595,0.682270916335,-0.52274653857,-0.155922038981,-0.0426979028906,C,C
140,37.0,Paul Byron,0.185679185679,-0.522420415184,-0.919625585617,1.18240551308,0.127718603842,-1.0,-0.275555169755,LW,RW
141,35.0,Jeff Skinner,0.595277449823,-0.531192285109,-0.915032761938,1.49937393284,-0.602613444361,2.47277789677,-0.124752368357,LW,LW
142,38.0,Jordan Eberle,0.78419188467,-0.368912691493,-0.921740701785,0.416649192703,-0.827758149258,1.39895841553,-0.798462716398,RW,LW
144,38.0,Milan Lucic,0.679239420866,-0.701063906497,-0.937392561428,0.770811490879,1.3683254477,2.19861122071,-0.0930822237911,LW,LW
145,36.0,Troy Brouwer,-0.00295159386068,-0.158550255324,-0.933914370396,0.495351925631,0.72720300327,1.53223388306,-0.0426979028906,RW,RW
146,36.0,Jason Chimera,-0.224517906336,-0.333852285465,-0.933914370396,-0.0654050464807,0.54539216082,-1.0,-0.0426979028906,LW,RW
147,37.0,Dwight King,-0.4610549156,-0.45419476021,-0.935700468494,-0.0906643695488,0.3709520282,-1.0,-0.689523644181,LW,LW
148,39.0,Corey Perry,1.24975024975,-0.514548224226,-0.938997880366,0.207784247625,-0.13989486072,0.55829777419,0.325495211382,RW,RW
149,36.0,Mark Stone,0.883313656041,0.192053804957,-0.933914370396,1.05610889774,-0.409114762039,3.2203898051,-0.09588135273,RW,RW
150,33.0,Benoit Pouliot,-0.758291295481,-0.120302539657,-0.927906585887,0.0195581311119,-0.479359860258,-1.0,0.392439413977,LW,LW
151,34.0,Anthony Duclair,-0.530800750052,-0.55452660576,-0.93002698042,-0.406257323647,-0.614988804225,-1.0,-0.211633567086,LW,LW
152,26.0,Daniel Winnik,-0.386431750068,-0.126186803606,-0.908496820549,0.294054551027,-0.590925604489,-1.0,0.251856588528,LW,LW
155,33.0,Mike Hoffman,0.81281528389,-0.464531980661,-0.945929939415,1.03911626222,-0.256228371798,4.52487392667,0.566494340724,LW,LW
156,28.0,Taylor Hall,1.27896778546,-0.278757361707,-0.936274571454,1.16291974957,-0.181851208978,3.34097237096,-0.452970230223,LW,RW
157,37.0,Nick Ritchie,-0.4610549156,-0.624758897645,-0.967850234247,0.454937008722,2.20625877563,-0.178734956846,0.138413304671,LW,LW
158,32.0,Chris Kunitz,0.620203659976,-0.605570432183,-0.962826833348,-0.369148406375,1.7612521697,-1.0,0.316290383525,LW,LW
159,35.0,Zack Kassian,-0.202361275089,-0.711502944683,-0.966013104775,-0.615480933409,1.1505625364,-1.0,2.71980243448,RW,RW
160,36.0,Zach Hyman,0.218614718615,-0.0884294432682,-0.966957185198,-0.0654050464807,0.24994954184,-1.0,-0.0426979028906,C,C
161,27.0,Curtis McKenzie,-0.261445625082,-0.2520446714,-0.955942913598,-0.252324037185,0.60599577497,-1.0,1.8364506581,LW,LW
162,31.0,Devin Setoguchi,-0.356742963781,-0.633562207964,-0.96162769894,-0.131731139956,0.240419134776,-1.0,-0.62943144628,RW,RW
163,22.0,Brett Connolly,-0.818718471611,-0.713142132497,-0.945929939415,0.223469757334,0.710674744865,0.381218481668,0.392439413977,RW,RW
164,27.0,Jordan Nolan,-0.556867375049,-0.859758375887,-0.955942913598,-0.501549358123,0.302977704221,-1.0,1.8364506581,C,RW
165,35.0,Scott Hartnell,0.48132906055,-0.206633097877,-0.966013104775,0.730335799659,0.00515422897048,-0.131805525809,-0.179455345335,LW,LW
166,39.0,Andrew Cogliano,0.0226137498865,-0.482184772507,-0.969498940183,0.552865461232,-0.244785731364,-1.0,-0.214521356218,LW,LW
167,36.0,P.A. Parenteau,-0.335301062574,-0.859758375887,-0.966957185198,1.05610889774,-0.22730391959,1.53223388306,0.542320045343,RW,RW
